cluster,title,keywords
0,Venezuela Earthquakes,"venezuela earthquakes, earthquakes kill, earthquakes, rubble alive, alive venezuela"
1,Lawsuit Federal,"lawsuit federal, religion row, dissent court, crash lawsuit, supreme court"
2,Madonna Jealous,"madonna jealous, jealous kylie, kylie, kylie things, madonna"
3,Refugee Sponsorship,"refugee sponsorship, new refugee, mahmood announces, refugee, artemis crew"
4,Rwanda International,"rwanda international, rwanda, sanctions rwanda, takes rwanda, dr congo"
5,Hottest June,"hottest june, heatwave hottest, heatwaves burnham, breaking heatwave, heatwaves"
6,Insurance Trump,"insurance trump, meloni trump, fix trump, tariff, 100 tariff"
7,Canada Eligible,"canada eligible, canada economy, join eurovision, eurovision competition, eurovision"
8,Squirrel Kits,"squirrel kits, ducklings golden, 17 pellets, hatch ducklings, ducklings"
9,Dinosaur Antarctica,"dinosaur antarctica, identified dinosaur, fossil, dinosaur, fossil identified"
10,King Tax,"king tax, royal estate, offer tax, tax, tax incentive"
11,App Youtube,"app youtube, google youtube, android 17, youtube, youtube shorts"
12,Cost Gta,"cost gta, gta cost, launch disc, gta launch, disc means"
13,Smartphone Ban,"smartphone ban, expensive energy, money energy, energy debts, electricity"
14,Asia Stock,"asia stock, slump ibm, ibm hails, tech shares, ibm"
15,Bolton Pleads,"bolton pleads, john bolton, spying russia, ukrainian intelligence, guilty mishandling"
16,Baroness Mone,"baroness mone, chancellor reeves, uk chancellor, economy baroness, baroness"
17,Ice Pyramids,"ice pyramids, candy stores, drinks industry, new candy, new drinks"
18,Nba Draft,"nba draft, jaylen brown, nba insider, traded boston, jaylen"
19,Festival Neurodivergent,"festival neurodivergent, swift wedding, host strangers, going festival, strangers dinner"
20,Boss Quits,"boss quits, marketing boss, mail shuts, ferrari marketing, 290 jobs"
21,Iran Attack,"iran attack, strikes iran, iran war, oil price, prices oil"
22,Ancient Woodland,"ancient woodland, woodland, stonehenge miles, roots near, stonehenge"
23,Humanoid Robots,"humanoid robots, robots heading, humanoid, heading battlefield, robots"
24,Years Recruitment,"years recruitment, recruitment job, 40 press, making work, press ups"
25,Hour Flight,"hour flight, banking ryanair, flight airline, ryanair, ryanair says"
26,Set Argentina,"set argentina, argentina tie, argentina, uruguay reign, uruguay"
27,Magic Mushrooms,"magic mushrooms, pollution debate, chemical pollution, debate nhs, mushrooms treat"
28,Helium Moon,"helium moon, helium, planets lighter, moon, moon astronomers"
29,Isa Lifetime,"isa lifetime, lifetime isa, degrees earn, university degrees, isa changes"
