source,title,description,content,author,publishedAt,url
The Washington Post,Here are the at-home medical items nurses swear by - The Washington Post,"These health professionals rely on Vicks VapoRub, Benadryl, aloe vera gel and many other products to treat common ailments.","Peeking inside somebodys medicine cabinet is a no-no, which is a big part of what makes poking around all those tubes and bottles so tempting. (Still, dont. Its not only rude, but also an egregious v… [+202 chars]",Jolie Kerr,2026-06-28T12:45:12Z,https://www.washingtonpost.com/home/2026/06/28/we-asked-nurses-here-are-at-home-medical-items-they-swear-by/
Al Jazeera English,Saudi Arabia helicopter crash kills all 14 on board - Al Jazeera,"The helicopter crashed in Saudi Arabia’s Ras Tanura, state media reported.","At least 14 people have been killed after a helicopter crashed in Saudi Arabia, Saudi state media reported, citing an official source at the countrys energy ministry.
The SPA state news agency repor… [+577 chars]",Al Jazeera Staff,2026-06-28T12:15:15Z,https://www.aljazeera.com/news/2026/6/28/saudi-arabia-helicopter-crash-kills-all-14-on-board
The Washington Post,This rare tick-borne disease is on the rise in the U.S. - The Washington Post,"Cases of Powassan virus have hit the news in recent months because of the potentially life-altering, sometimes fatal, symptoms.","If a tick latches onto your skin an increasingly common occurrence in much of the United States this time of year your first concern might be Lyme disease, the most frequently transmitted tick-borne … [+160 chars]",Erica Sloan,2026-06-28T11:34:01Z,https://www.washingtonpost.com/wellness/2026/06/28/powassan-virus-disease-is-rise-us/
Al Jazeera English,Iran attacks Kuwait and Bahrain in response to US strikes - Al Jazeera,US-Iran deal under strain as Kuwait and Bahrain condemn Iranian attacks in response to US strikes.,"Iran has launched attacks on Bahrain and Kuwait after the United States struck five Iranian targets, escalating tensions and threatening the fragile ceasefire agreed by the two sides earlier this mon… [+5147 chars]",Christine Maguire,2026-06-28T11:31:50Z,https://www.aljazeera.com/news/2026/6/28/iran-attacks-kuwait-and-bahrain-in-response-to-us-strikes
CNBC,A 'perfect storm' points to a much smaller U.S. auto market by 2040 - CNBC,"The auto industry is selling fewer cars--one forecaster says this is a fundamental change, and it is going to get worse.","Ten years ago, a record 17.6 million cars, trucks and SUVs were sold in the U.S. Some forecasts say the country might not come close to that number again. 
Analysts at consulting firm Bain &amp; Com… [+5564 chars]",Robert Ferris,2026-06-28T11:00:01Z,https://www.cnbc.com/2026/06/28/us-auto-market.html
CNN,"Again, Trump said nobody left his speech. Again, that wasn’t true - CNN","President Donald Trump posted on social media on Thursday about the speech he gave the day prior to kick off the Great American State Fair in Washington, DC: “Everybody stayed right until the end of my Speech because they loved hearing about a truly successfu…","President Donald Trump posted on social media on Thursday about the speech he gave the day prior to kick off the Great AmericanState Fair in Washington, DC: Everybody stayed right until the end of my… [+4007 chars]",,2026-06-28T10:30:26Z,https://www.cnn.com/2026/06/28/politics/trump-no-one-leaves-his-speeches
NBC News,"Shingles vaccine may also offer protection against dementia, studies increasingly show - NBC News","The shingles vaccine may significantly help protect older adults against dementia, a growing body of evidence shows","The shingles vaccine may significantly help protect older adults against dementia, a growing body of evidence shows.
Limited time: Save 25% on NBC News subscription
Get exclusive reporting, live Q&… [+8192 chars]",Lindsey Leake,2026-06-28T10:30:00Z,https://www.nbcnews.com/health/health-news/shingles-brain-inflammation-research-vaccine-dementia-risk-rcna351961
Associated Press,Ukrainian strike sets fire to an oil refinery in southern Russia - AP News,"Ukraine has intensified its drone attacks on Russia, setting fire to a major oil refinery in the south and killing at least two people, according to Russian authorities. Kyiv's long-range strikes aim to disrupt Russian fuel supplies and military deliveries, p…","KYIV, Ukraine (AP) Ukraine kept up its heavy drone assault on Russia, setting fire to a major oil refinery in the south and killing at least two people, Russian authorities said Sunday. 
Ukraine has… [+2914 chars]",,2026-06-28T10:17:00Z,https://apnews.com/article/ukraine-russia-war-oil-refinery-drones-88370faa1a49504438388f2854d7afd3
NBC News,Alleged UFC plotters posted a ‘terminally online Mad Libs’ of grievances - NBC News,"The man investigators say was behind a foiled plot to attack the UFC event at the White House was driven by a shuffling playlist of grievances, court documents suggest.","Limited time: Save 25% on NBC News subscription
Get exclusive reporting, live Q&amp;As and ad-free reading.",Ryan J. Reilly,2026-06-28T10:01:00Z,https://www.nbcnews.com/news/us-news/mishmash-grievances-investigators-say-fueled-foiled-ufc-plot-rcna351920
The Wall Street Journal,"Airlines Are Installing New Luxury Seats, but No One Is Allowed to Sit in Them - WSJ",,,WSJ,2026-06-28T09:30:00Z,https://www.wsj.com/business/airlines/airlines-are-installing-new-luxury-seats-but-no-one-is-allowed-to-sit-in-them-14e2878c
Associated Press,"3 firefighters killed, 2 injured while tackling wildfires on the Colorado-Utah border - AP News",Three firefighters have died and two were injured while battling fires on the Colorado-Utah border. The U.S. Wildland Fire Service says they were responding to the Knowles and Gore fires on Saturday. Wildfire activity has intensified across the western U.S. d…,"BEAVER, Utah (AP) Three firefighters died and two were injured while tackling fires on the Colorado-Utah border, the U.S. Wildland Fire Service reported Sunday.
The agency created earlier this year … [+4268 chars]","Ty Oneil, Susan Montoya Bryan",2026-06-28T09:23:00Z,https://apnews.com/article/western-wildfires-wind-dry-weather-a5fb3b05719d2a6b77feacffd2cbdba9
TMZ,TLC's Deon Derrico Sues Business Partner Over Real Estate Deal - TMZ,"Deon Derrico is keeping busy in court ... because not only did he file a restraining order against his ex-wife, he's now suing a business partner over a real estate deal.","Deon Derrico is keeping busy in court ... because not only did he file a restraining order against his ex-wife, he's now suing a business partner over a real estate deal.
According to legal docs, ob… [+1088 chars]",TMZ Staff,2026-06-28T08:00:23Z,https://www.tmz.com/2026/06/28/deon-derrico-sues-business-partner/
Google News,Ennis digs deep to finish Zayas and become unified champion - ringmagazine.com,,,ringmagazine.com,2026-06-28T05:08:58Z,https://news.google.com/rss/articles/CBMitwFBVV95cUxOaXNQZC1XMzQwNC01N1JPdXBsdmZDLVhWT05RS29GZG45R0VYQmNLZ2JJYkRVeF9RaE9vNU1rcUFyT2syZ3hTLXlhb3BRR0N4bzBRYWZra0tEVHFacTRmTGt4Mnd5anZQNGtSVGV6WDdPU3pXX3gwZjZDVy1CUlV3ZzNvSjcyMF8ycTdSWXFwRTRhTTZaYThubm5rbnJBWVNDeGdrRUEzcVhtMUdDNExYbm5IZnMzaVE?oc=5
San Francisco Chronicle,Scott Wiener says harassment made it ‘impossible’ to stay at S.F. Trans March - San Francisco Chronicle,State Sen. Scott Wiener says harassment and intimidation at San Francisco’s Trans March forced him to leave Dolores Park.,"State Sen. Scott Wiener was accosted by several protesters Friday when he tried to participate in the Trans March in San Francisco. 
Scott Strazzante/S.F. Chronicle
State Sen. Scott Wiener, who has… [+4425 chars]",St. John Barned-Smith,2026-06-28T05:08:10Z,https://www.sfchronicle.com/sf/article/scott-wiener-trans-march-harassment-22323541.php
Suntimes.com,"Horoscope for Sunday, June 28, 2026 - Chicago Sun-Times",,"Moon Alert
Caution! Avoid shopping (except food and gas) and important decisions for the day. The moon is in Sagittarius.
Aries (March 21-April 19)
 You are creative and can do almost anything wit… [+3712 chars]",Georgia Nicols,2026-06-28T05:01:00Z,https://chicago.suntimes.com/horoscopes/2026/06/28/horoscopes-today-sunday-june-28-2026
Politico,Trump gets the complete domination he wanted in Louisiana - Politico,"Rep. Julia Letlow, his preferred candidate, won the GOP runoff for his longtime rival Bill Cassidy’s Senate seat.","Letlows win sends another Trump ally to Washington, continuing the MAGA takeover of the party, and shows the continuing power of Trumps blessing that lifts candidates even when others have conservati… [+4153 chars]",Liz Crampton,2026-06-28T04:34:34Z,https://www.politico.com/news/2026/06/28/trump-maga-louisiana-senate-victory-00979205
MMA Fighting,"PFL San Diego salaries: Main event fighter made $10,000 in losing effort - MMA Fighting",Two fighters made six figures at PFL San Diego on Saturday night.,"A.J. McKee and Liz Carmouche led all fighter salaries for the PFL San Diego event on Saturday night.
The salaries were provided to MMA Fighting by the California State Athletic Commission.
At the t… [+1818 chars]",Damon Martin,2026-06-28T04:09:00Z,https://www.mmafighting.com/pfl/496846/pfl-san-diego-salaries-main-event-fighter-made-10000-in-losing-effort
WLKY Louisville,"Beshear declares state of emergency as flash flooding worsens, death toll climbs - WLKY",Gov. Andy Beshear has declared a state of emergency as flash flooding and severe weather continue to impact much of Kentucky.,"FRANKFORT, Ky. —Gov. Andy Beshear has declared a state of emergency as flash flooding and severe weather continue to impact much of Kentucky.
See the governor's announcement below.
The declaration … [+1889 chars]",Jennifer Osting,2026-06-28T03:46:00Z,https://www.wlky.com/article/kentucky-state-emergency-flash-flooding-severe-weather/71756774
